Title,Distributor(s),Release date(United States),Bud­get (mil­lions),Opening weekend(North America),North America,Other territories,Worldwide,Profit,Year,Revenue_Category
Venom,Sony Pictures,2018-10-05,100.0,80255756,213515506,641498448,855013954,855013854.0,2018,High
Spider-Man: Into the Spider-Verse,Sony Pictures,2018-12-14,90.0,35363376,190241310,185299521,375540831,375540741.0,2018,Medium
Captain Marvel,Walt Disney Studios Motion Pictures,2019-03-08,152.0,153433423,426829839,701444955,1128274794,1128274642.0,2019,High
Avengers: Endgame,Walt Disney Studios Motion Pictures,2019-04-26,356.0,357115007,858373000,1937901401,2797800564,2797800208.0,2019,High
Dark Phoenix,20th Century Fox,2019-06-07,200.0,32828348,65845974,186597000,252442974,252442774.0,2019,Low
Spider-Man: Far From Home,Sony Pictures,2019-07-02,160.0,92579212,390532085,741395911,1131927996,1131927836.0,2019,High
The New Mutants,20th Century Studios,2020-08-28,67.0,7037017,23855569,24819497,48675066,48674999.0,2020,Low
Black Widow,Walt Disney Studios Motion Pictures,2021-07-09,200.0,80366312,183651665,195979696,379631351,379631151.0,2021,Medium
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,2021-09-03,150.0,75388688,224543292,207700000,432243292,432243142.0,2021,Medium
Venom: Let There Be Carnage,Sony Pictures,2021-10-01,110.0,90033210,213550366,288500000,502050366,502050256.0,2021,Medium
Eternals,Walt Disney Studios Motion Pictures,2021-11-05,200.0,85021497,164870234,237194665,402064899,402064699.0,2021,Medium
Spider-Man: No Way Home,Sony Pictures,2021-12-17,200.0,260138569,780418859,1072000000,1852418859,1852418659.0,2021,High
